date,total_value,cash,position_value,position_count,positions
2025-01-02,1000000.0,1000000.0,0.0,0,[]
2025-01-02,1000000.0,1000000.0,0.0,0,[]
2025-01-03,1000000.0,1000000.0,0.0,0,[]
2025-01-03,1000000.0,1000000.0,0.0,0,[]
2025-01-06,1005263.0315150002,365966.1715150001,639296.8600000001,4,"[{'code': 'sh.601216', 'size': 31950, 'buy_price': 5.216480260552338, 'current_price': 5.04, 'value': 161028.0, 'profit_pct': -0.033831290781813746}, {'code': 'sh.603612', 'size': 11809, 'buy_price': 14.113403415425465, 'current_price': 14.02, 'value': 165562.18, 'profit_pct': -0.006618064592653699}, {'code': 'sz.300056', 'size': 12657, 'buy_price': 13.167538799164744, 'current_price': 12.6, 'value': 159478.19999999998, 'profit_pct': -0.04310135765088801}, {'code': 'sz.301516', 'size': 9389, 'buy_price': 17.75031376478024, 'current_price': 16.32, 'value': 153228.48, 'profit_pct': -0.08057963277349137}]"
2025-01-06,1005263.0315150002,365966.1715150001,639296.8600000001,4,"[{'code': 'sh.601216', 'size': 31950, 'buy_price': 5.216480260552338, 'current_price': 5.04, 'value': 161028.0, 'profit_pct': -0.033831290781813746}, {'code': 'sh.603612', 'size': 11809, 'buy_price': 14.113403415425465, 'current_price': 14.02, 'value': 165562.18, 'profit_pct': -0.006618064592653699}, {'code': 'sz.300056', 'size': 12657, 'buy_price': 13.167538799164744, 'current_price': 12.6, 'value': 159478.19999999998, 'profit_pct': -0.04310135765088801}, {'code': 'sz.301516', 'size': 9389, 'buy_price': 17.75031376478024, 'current_price': 16.32, 'value': 153228.48, 'profit_pct': -0.08057963277349137}]"
2025-01-07,1030182.33264,32921.98264000008,997260.35,3,"[{'code': 'sh.603612', 'size': 11809, 'buy_price': 14.113403415425465, 'current_price': 14.27, 'value': 168514.43, 'profit_pct': 0.011095593314039353}, {'code': 'sh.601608', 'size': 41621, 'buy_price': 4.025426848476684, 'current_price': 4.0, 'value': 166484.0, 'profit_pct': -0.0063165595684110095}, {'code': 'sz.300263', 'size': 25236, 'buy_price': 6.638829494526443, 'current_price': 6.74, 'value': 170090.64, 'profit_pct': 0.015239208290703906}]"
2025-01-07,1030182.33264,32921.98264000008,997260.35,3,"[{'code': 'sh.603612', 'size': 11809, 'buy_price': 14.113403415425465, 'current_price': 14.27, 'value': 168514.43, 'profit_pct': 0.011095593314039353}, {'code': 'sh.601608', 'size': 41621, 'buy_price': 4.025426848476684, 'current_price': 4.0, 'value': 166484.0, 'profit_pct': -0.0063165595684110095}, {'code': 'sz.300263', 'size': 25236, 'buy_price': 6.638829494526443, 'current_price': 6.74, 'value': 170090.64, 'profit_pct': 0.015239208290703906}]"
2025-01-08,1030083.381445,181233.25144500003,848850.1299999999,5,"[{'code': 'sh.603612', 'size': 11809, 'buy_price': 14.113403415425465, 'current_price': 14.88, 'value': 175717.92, 'profit_pct': 0.05431691860637049}, {'code': 'sh.601608', 'size': 41621, 'buy_price': 4.025426848476684, 'current_price': 3.95, 'value': 164402.95, 'profit_pct': -0.01873760257380583}, {'code': 'sz.300263', 'size': 25236, 'buy_price': 6.638829494526443, 'current_price': 6.63, 'value': 167314.68, 'profit_pct': -0.0013299776012809237}, {'code': 'sh.601689', 'size': 3603, 'buy_price': 47.647142267601915, 'current_price': 47.94, 'value': 172727.81999999998, 'profit_pct': 0.006146386088661908}, {'code': 'sz.300207', 'size': 8157, 'buy_price': 21.04713467987364, 'current_price': 20.68, 'value': 168686.76, 'profit_pct': -0.017443451826471817}]"
2025-01-08,1030083.381445,181233.25144500003,848850.1299999999,5,"[{'code': 'sh.603612', 'size': 11809, 'buy_price': 14.113403415425465, 'current_price': 14.88, 'value': 175717.92, 'profit_pct': 0.05431691860637049}, {'code': 'sh.601608', 'size': 41621, 'buy_price': 4.025426848476684, 'current_price': 3.95, 'value': 164402.95, 'profit_pct': -0.01873760257380583}, {'code': 'sz.300263', 'size': 25236, 'buy_price': 6.638829494526443, 'current_price': 6.63, 'value': 167314.68, 'profit_pct': -0.0013299776012809237}, {'code': 'sh.601689', 'size': 3603, 'buy_price': 47.647142267601915, 'current_price': 47.94, 'value': 172727.81999999998, 'profit_pct': 0.006146386088661908}, {'code': 'sz.300207', 'size': 8157, 'buy_price': 21.04713467987364, 'current_price': 20.68, 'value': 168686.76, 'profit_pct': -0.017443451826471817}]"
2025-01-09,1041393.5514450001,181233.25144500003,860160.3,4,"[{'code': 'sh.601608', 'size': 41621, 'buy_price': 4.025426848476684, 'current_price': 3.93, 'value': 163570.53, 'profit_pct': -0.023706019775963778}, {'code': 'sz.300263', 'size': 25236, 'buy_price': 6.638829494526443, 'current_price': 6.74, 'value': 170090.64, 'profit_pct': 0.015239208290703906}, {'code': 'sh.601689', 'size': 3603, 'buy_price': 47.647142267601915, 'current_price': 51.38, 'value': 185122.14, 'profit_pct': 0.07834379051388098}, {'code': 'sz.300207', 'size': 8157, 'buy_price': 21.04713467987364, 'current_price': 20.83, 'value': 169910.31, 'profit_pct': -0.010316590983820565}]"
2025-01-09,1041393.5514450001,181233.25144500003,860160.3,4,"[{'code': 'sh.601608', 'size': 41621, 'buy_price': 4.025426848476684, 'current_price': 3.93, 'value': 163570.53, 'profit_pct': -0.023706019775963778}, {'code': 'sz.300263', 'size': 25236, 'buy_price': 6.638829494526443, 'current_price': 6.74, 'value': 170090.64, 'profit_pct': 0.015239208290703906}, {'code': 'sh.601689', 'size': 3603, 'buy_price': 47.647142267601915, 'current_price': 51.38, 'value': 185122.14, 'profit_pct': 0.07834379051388098}, {'code': 'sz.300207', 'size': 8157, 'buy_price': 21.04713467987364, 'current_price': 20.83, 'value': 169910.31, 'profit_pct': -0.010316590983820565}]"
2025-01-10,1037854.9573850001,181199.83738500005,856655.12,4,"[{'code': 'sz.300263', 'size': 25236, 'buy_price': 6.638829494526443, 'current_price': 6.54, 'value': 165043.44, 'profit_pct': -0.014886584240177542}, {'code': 'sh.601689', 'size': 3603, 'buy_price': 47.647142267601915, 'current_price': 53.0, 'value': 190959.0, 'profit_pct': 0.11234373096994334}, {'code': 'sz.300207', 'size': 8157, 'buy_price': 21.04713467987364, 'current_price': 20.63, 'value': 168278.91, 'profit_pct': -0.01981907210735562}, {'code': 'sh.600888', 'size': 25292, 'buy_price': 6.862421850127511, 'current_price': 6.74, 'value': 170468.08000000002, 'profit_pct': -0.01783945271817354}]"
2025-01-10,1037854.9573850001,181199.83738500005,856655.12,4,"[{'code': 'sz.300263', 'size': 25236, 'buy_price': 6.638829494526443, 'current_price': 6.54, 'value': 165043.44, 'profit_pct': -0.014886584240177542}, {'code': 'sh.601689', 'size': 3603, 'buy_price': 47.647142267601915, 'current_price': 53.0, 'value': 190959.0, 'profit_pct': 0.11234373096994334}, {'code': 'sz.300207', 'size': 8157, 'buy_price': 21.04713467987364, 'current_price': 20.63, 'value': 168278.91, 'profit_pct': -0.01981907210735562}, {'code': 'sh.600888', 'size': 25292, 'buy_price': 6.862421850127511, 'current_price': 6.74, 'value': 170468.08000000002, 'profit_pct': -0.01783945271817354}]"
