date,total_value,cash,position_value,position_count,positions,value_change,is_flat,flat_group
2025-01-02,1000000.0,1000000.0,0.0,0,[],,False,1
2025-01-02,1000000.0,1000000.0,0.0,0,[],0.0,True,2
2025-01-03,1000000.0,1000000.0,0.0,0,[],0.0,True,2
2025-01-03,1000000.0,1000000.0,0.0,0,[],0.0,True,2
2025-01-06,994286.7195194835,140087.63951948367,854199.0799999998,8,"[{'code': 'sh.600501', 'size': 5926, 'buy_price': 18.74871563167381, 'current_price': 17.34, 'value': 102756.84, 'profit_pct': -0.07513664718952519}, {'code': 'sh.600715', 'size': 52385, 'buy_price': 2.1210416945868227, 'current_price': 2.06, 'value': 107913.1, 'profit_pct': -0.028779111104986318}, {'code': 'sh.600725', 'size': 34137, 'buy_price': 3.2547834209233013, 'current_price': 3.02, 'value': 103093.74, 'profit_pct': -0.07213488289696986}, {'code': 'sh.601216', 'size': 21300, 'buy_price': 5.216480260552338, 'current_price': 5.04, 'value': 107352.0, 'profit_pct': -0.033831290781813746}, {'code': 'sh.603612', 'size': 7872, 'buy_price': 14.113403415425465, 'current_price': 14.02, 'value': 110365.44, 'profit_pct': -0.006618064592653699}, {'code': 'sz.300013', 'size': 37029, 'buy_price': 3.000578473081511, 'current_price': 3.04, 'value': 112568.16, 'profit_pct': 0.013137975651076507}, {'code': 'sz.300056', 'size': 8438, 'buy_price': 13.167538799164744, 'current_price': 12.6, 'value': 106318.8, 'profit_pct': -0.04310135765088801}, {'code': 'sz.300300', 'size': 42380, 'buy_price': 2.6217732440328865, 'current_price': 2.45, 'value': 103831.00000000001, 'profit_pct': -0.06551796362398594}]",5713.280480516492,False,3
2025-01-07,1014628.4995194838,140087.63951948367,874540.8600000001,5,"[{'code': 'sh.600715', 'size': 52385, 'buy_price': 2.1210416945868227, 'current_price': 2.09, 'value': 109484.65, 'profit_pct': -0.014635117577389124}, {'code': 'sh.601216', 'size': 21300, 'buy_price': 5.216480260552338, 'current_price': 5.2, 'value': 110760.0, 'profit_pct': -0.003159268266950664}, {'code': 'sh.603612', 'size': 7872, 'buy_price': 14.113403415425465, 'current_price': 14.27, 'value': 112333.44, 'profit_pct': 0.011095593314039353}, {'code': 'sz.300013', 'size': 37029, 'buy_price': 3.000578473081511, 'current_price': 3.11, 'value': 115160.19, 'profit_pct': 0.03646681061672624}, {'code': 'sz.300056', 'size': 8438, 'buy_price': 13.167538799164744, 'current_price': 12.77, 'value': 107753.26, 'profit_pct': -0.03019082041284444}]",20341.78000000026,False,3
2025-01-07,1014628.4995194838,140087.63951948367,874540.8600000001,5,"[{'code': 'sh.600715', 'size': 52385, 'buy_price': 2.1210416945868227, 'current_price': 2.09, 'value': 109484.65, 'profit_pct': -0.014635117577389124}, {'code': 'sh.601216', 'size': 21300, 'buy_price': 5.216480260552338, 'current_price': 5.2, 'value': 110760.0, 'profit_pct': -0.003159268266950664}, {'code': 'sh.603612', 'size': 7872, 'buy_price': 14.113403415425465, 'current_price': 14.27, 'value': 112333.44, 'profit_pct': 0.011095593314039353}, {'code': 'sz.300013', 'size': 37029, 'buy_price': 3.000578473081511, 'current_price': 3.11, 'value': 115160.19, 'profit_pct': 0.03646681061672624}, {'code': 'sz.300056', 'size': 8438, 'buy_price': 13.167538799164744, 'current_price': 12.77, 'value': 107753.26, 'profit_pct': -0.03019082041284444}]",0.0,True,4
2025-01-08,1017227.1724370396,118810.0624370398,898417.1099999998,8,"[{'code': 'sh.600715', 'size': 52385, 'buy_price': 2.1210416945868227, 'current_price': 2.09, 'value': 109484.65, 'profit_pct': -0.014635117577389124}, {'code': 'sh.601216', 'size': 21300, 'buy_price': 5.216480260552338, 'current_price': 5.07, 'value': 107991.0, 'profit_pct': -0.028080286560276876}, {'code': 'sh.603612', 'size': 7872, 'buy_price': 14.113403415425465, 'current_price': 14.88, 'value': 117135.36, 'profit_pct': 0.05431691860637049}, {'code': 'sz.300013', 'size': 37029, 'buy_price': 3.000578473081511, 'current_price': 3.11, 'value': 115160.19, 'profit_pct': 0.03646681061672624}, {'code': 'sz.300056', 'size': 8438, 'buy_price': 13.167538799164744, 'current_price': 13.06, 'value': 110200.28, 'profit_pct': -0.008166962771475918}, {'code': 'sh.600711', 'size': 23777, 'buy_price': 4.741358819674208, 'current_price': 4.77, 'value': 113416.29, 'profit_pct': 0.006040711411029636}, {'code': 'sh.601608', 'size': 28254, 'buy_price': 3.9900214652510897, 'current_price': 3.95, 'value': 111603.3, 'profit_pct': -0.010030388457714973}, {'code': 'sh.601689', 'size': 2366, 'buy_price': 47.647142267601915, 'current_price': 47.94, 'value': 113426.04, 'profit_pct': 0.006146386088661908}]",2598.672917555785,False,5
2025-01-09,1022972.00243704,118810.0624370398,904161.9400000002,8,"[{'code': 'sh.600715', 'size': 52385, 'buy_price': 2.1210416945868227, 'current_price': 2.11, 'value': 110532.34999999999, 'profit_pct': -0.005205788558990924}, {'code': 'sh.601216', 'size': 21300, 'buy_price': 5.216480260552338, 'current_price': 5.09, 'value': 108417.0, 'profit_pct': -0.024246283745919077}, {'code': 'sh.603612', 'size': 7872, 'buy_price': 14.113403415425465, 'current_price': 14.52, 'value': 114301.44, 'profit_pct': 0.028809251220732406}, {'code': 'sz.300013', 'size': 37029, 'buy_price': 3.000578473081511, 'current_price': 3.07, 'value': 113679.03, 'profit_pct': 0.023136047779212066}, {'code': 'sz.300056', 'size': 8438, 'buy_price': 13.167538799164744, 'current_price': 12.87, 'value': 108597.06, 'profit_pct': -0.022596386743407068}, {'code': 'sh.600711', 'size': 23777, 'buy_price': 4.741358819674208, 'current_price': 4.88, 'value': 116031.76, 'profit_pct': 0.02924081167417714}, {'code': 'sh.601608', 'size': 28254, 'buy_price': 3.9900214652510897, 'current_price': 3.93, 'value': 111038.22, 'profit_pct': -0.015042892819954396}, {'code': 'sh.601689', 'size': 2366, 'buy_price': 47.647142267601915, 'current_price': 51.38, 'value': 121565.08, 'profit_pct': 0.07834379051388098}]",5744.830000000424,False,5
2025-01-10,1008161.2524370399,118810.0624370398,889351.1900000001,8,"[{'code': 'sh.600715', 'size': 52385, 'buy_price': 2.1210416945868227, 'current_price': 2.1, 'value': 110008.5, 'profit_pct': -0.009920453068189918}, {'code': 'sh.601216', 'size': 21300, 'buy_price': 5.216480260552338, 'current_price': 4.98, 'value': 106074.00000000001, 'profit_pct': -0.04533329922488732}, {'code': 'sh.603612', 'size': 7872, 'buy_price': 14.113403415425465, 'current_price': 14.03, 'value': 110444.15999999999, 'profit_pct': -0.005909518276385991}, {'code': 'sz.300013', 'size': 37029, 'buy_price': 3.000578473081511, 'current_price': 2.94, 'value': 108865.26, 'profit_pct': -0.020188931442708932}, {'code': 'sz.300056', 'size': 8438, 'buy_price': 13.167538799164744, 'current_price': 12.19, 'value': 102859.22, 'profit_pct': -0.07423853569558135}, {'code': 'sh.600711', 'size': 23777, 'buy_price': 4.741358819674208, 'current_price': 4.87, 'value': 115793.99, 'profit_pct': 0.02713171165025469}, {'code': 'sh.601608', 'size': 28254, 'buy_price': 3.9900214652510897, 'current_price': 3.89, 'value': 109908.06, 'profit_pct': -0.025067901544433238}, {'code': 'sh.601689', 'size': 2366, 'buy_price': 47.647142267601915, 'current_price': 53.0, 'value': 125398.0, 'profit_pct': 0.11234373096994334}]",14810.750000000116,False,5
