date,action,code,price,target_pct,ksp_rank,size,profit_pct,reason
2025-01-03,BUY_SIGNAL,sh.600036,38.66,0.5,0.0,,,
2025-01-03,BUY_SIGNAL,sh.600519,1475.0,0.5,0.0,,,
2025-01-07,SELL_SIGNAL,sh.600519,1444.66,,,338.0,-0.020569491525423672,stop_loss_-2.37%
2025-01-08,BUY_SIGNAL,sh.600519,1442.5,0.5,0.0,,,
2025-03-06,SELL_SIGNAL,sh.600036,42.89,,,12933.0,0.10941541645111237,take_profit_10.94%
2025-03-07,BUY_SIGNAL,sh.600036,43.57,0.5,0.0,,,
2025-03-27,SELL_SIGNAL,sh.600036,42.75,,,12042.0,-0.01882028918980951,stop_loss_-2.09%
2025-03-28,BUY_SIGNAL,sh.600036,43.22,0.5,0.0,,,
2025-04-08,SELL_SIGNAL,sh.600036,40.78,,,12107.0,-0.056455344747801894,stop_loss_-5.53%
2025-04-09,BUY_SIGNAL,sh.600036,40.46,0.5,0.0,,,
2026-01-19,SELL_SIGNAL,sh.600036,38.73,,,12537.0,-0.04275827978250133,stop_loss_-4.30%
2026-01-20,BUY_SIGNAL,sh.600036,38.73,0.5,0.0,,,
2026-01-23,SELL_SIGNAL,sh.600036,37.85,,,12784.0,-0.02272140459592036,stop_loss_-2.27%
2026-01-26,BUY_SIGNAL,sh.600036,38.02,0.5,0.0,,,
